American Samoa,Chile,USD,2400,2,,
Anguilla,Chile,USD,2400,2,,
Antigua and Barbuda,Chile,USD,2400,2,,
Argentina,Chile,USD,2400,2,,
Aruba,Chile,USD,2400,2,,
Bahamas,Chile,USD,2400,2,,
Barbados,Chile,USD,2400,2,,
Bermuda,Chile,USD,2400,2,,
Bolivia,Chile,USD,2400,2,,
"Bonaire,  Saint Eustatius And Saba",Chile,USD,2400,2,,
Brazil,Chile,USD,2400,2,,
British Virgin Islands,Chile,USD,2400,2,,
Canada,Chile,USD,2400,2,,
Cayman Islands,Chile,USD,2400,2,,
Chile,Chile,USD,2400,2,,
Colombia,Chile,USD,2400,2,,
Cook Islands,Chile,USD,2400,2,,
Costa Rica,Chile,USD,2400,2,,
Cuba,Chile,USD,2400,2,,
Curacao,Chile,USD,2400,2,,
Dominica,Chile,USD,2400,2,,
Dominican Republic,Chile,USD,2400,2,,
Ecuador,Chile,USD,2400,2,,
El Salvador,Chile,USD,2400,2,,
Falkland Islands (Malvinas),Chile,USD,2400,2,,
French Guiana,Chile,USD,2400,2,,
French Polynesia,Chile,USD,2400,2,,
Grenada,Chile,USD,2400,2,,
Guadeloupe,Chile,USD,2400,2,,
Guam,Chile,USD,2490,2,,
Guatemala,Chile,USD,2400,2,,
Guyana,Chile,USD,2400,2,,
Haiti,Chile,USD,2400,2,,
Honduras,Chile,USD,2400,2,,
Jamaica,Chile,USD,2400,2,,
Kiribati,Chile,USD,2400,2,,
Martinique,Chile,USD,2400,2,,
Mexico,Chile,USD,2400,2,,
Montserrat,Chile,USD,2400,2,,
Nicaragua,Chile,USD,2400,2,,
Niue,Chile,USD,2400,2,,
Panama,Chile,USD,2400,2,,
Paraguay,Chile,USD,2400,2,,
Pitcairn,Chile,USD,2400,2,,
Puerto Rico,Chile,USD,2400,2,,
Saint Barthelemy,Chile,USD,2400,2,,
Saint Kitts and Nevis,Chile,USD,2400,2,,
Saint Lucia,Chile,USD,2400,2,,
Saint Martin (French),Chile,USD,2400,2,,
Saint Pierre and Miquelon,Chile,USD,2400,2,,
Saint Vincent and the Grenadines,Chile,USD,2400,2,,
Samoa,Chile,USD,2400,2,,
Sint Maarten (Dutch),Chile,USD,2400,2,,
South Georgia and the South Sandwich Islands,Chile,USD,2400,2,,
Suriname,Chile,USD,2400,2,,
Tokelau,Chile,USD,2400,2,,
Trinidad and Tobago,Chile,USD,2400,2,,
Turks and Caicos Islands,Chile,USD,2400,2,,
U.S. Virgin Islands,Chile,USD,2400,2,,
United States,Chile,USD,2400,2,,
United States Minor Outlying Islands,Chile,USD,2400,2,,
Uruguay,Chile,USD,2400,2,,
Venezuela,Chile,USD,2400,2,,
American Samoa,Germany,USD,2400,2,,
Andorra,Germany,Euro,790,3,,
Anguilla,Germany,USD,2400,2,,
Antigua and Barbuda,Germany,USD,2400,2,,
Argentina,Germany,USD,2400,2,,
Aruba,Germany,USD,2400,2,,
Australia,Germany,USD,2500,1,,
Bahamas,Germany,USD,2400,2,,
Barbados,Germany,USD,2400,2,,
Belgium,Germany,Euro,790,3,,
Bermuda,Germany,USD,2400,2,,
Bolivia,Germany,USD,2400,2,,
"Bonaire,  Saint Eustatius And Saba",Germany,USD,2400,2,,
Brazil,Germany,USD,2400,2,,
British Virgin Islands,Germany,USD,1450,1,,
Brunei,Germany,USD,2500,1,,
Bulgaria,Germany,Euro,790,3,,
Cambodia,Germany,USD,2500,1,,
Canada,Germany,USD,1100,1,,
Cayman Islands,Germany,USD,1450,1,,
Chile,Germany,USD,2400,2,,
China,Germany,USD,2500,1,,
Colombia,Germany,USD,2400,2,,
Cook Islands,Germany,USD,2400,2,,
Costa Rica,Germany,USD,2400,2,,
Croatia,Germany,Euro,790,3,,
Cuba,Germany,USD,2400,2,,
Curacao,Germany,USD,2400,2,,
Cypress,Germany,Euro,790,3,,
Czech Republic,Germany,Euro,790,3,,
Denmark,Germany,Euro,790,3,,
Dominica,Germany,USD,2400,2,,
Dominican Republic,Germany,USD,2400,2,,
Ecuador,Germany,USD,2400,2,,
El Salvador,Germany,USD,2400,2,,
Estonia,Germany,Euro,790,3,,
Falkland Islands (Malvinas),Germany,USD,1450,1,,
Finland,Germany,Euro,790,3,,
France,Germany,Euro,790,3,,
French Guiana,Germany,USD,2400,2,,
French Polynesia,Germany,USD,2400,2,,
Greece,Germany,Euro,790,3,,
Grenada,Germany,USD,2400,2,,
Guadeloupe,Germany,USD,2400,2,,
Guam,Germany,USD,2400,2,,
Guatemala,Germany,USD,2400,2,,
Guyana,Germany,USD,2400,2,,
Haiti,Germany,USD,2400,2,,
Honduras,Germany,USD,2400,2,,
Hong Kong,Germany,USD,2500,1,,
Hungary,Germany,Euro,790,3,,
Iceland,Germany,Euro,790,3,,
Indonesia,Germany,USD,2500,1,,
Ireland,Germany,Euro,790,3,,
Israel,Germany,USD,1450,1,,
Italy,Germany,Euro,790,3,,
Jamaica,Germany,USD,2400,2,,
Japan,Germany,Yen,250000,1,,
Kazakhstan,Germany,USD,2490,2,,
Kiribati,Germany,USD,2400,2,,
Korea,Germany,USD,2500,1,,
Laos,Germany,USD,2500,1,,
Latvia,Germany,Euro,790,3,,
Lithuania,Germany,Euro,790,3,,
Luxembourg,Germany,Euro,790,3,,
Malaysia,Germany,USD,2500,1,,
Malta,Germany,Euro,790,3,,
Martinique,Germany,USD,2400,2,,
Mexico,Germany,USD,2400,2,,
Moldova,Germany,USD,2490,2,,
Mongolia,Germany,USD,2500,1,,
Montserrat,Germany,USD,2400,2,,
Myanmar,Germany,USD,2500,1,,
Nepal,Germany,USD,2500,1,,
Netherlands,Germany,Euro,790,3,,
New Zealand,Germany,USD,2500,1,,
Nicaragua,Germany,USD,2400,2,,
Niue,Germany,USD,2400,2,,
Norway,Germany,Euro,790,3,,
Panama,Germany,USD,2400,2,,
Paraguay,Germany,USD,2400,2,,
Peru,Germany,USD,2400,2,,
Philippines,Germany,USD,2500,1,,
Pitcairn,Germany,USD,2400,2,,
Poland,Germany,Euro,790,3,,
Portugal,Germany,Euro,790,3,,
Puerto Rico,Germany,USD,2400,2,,
Romania,Germany,Euro,790,3,,
Saint Barthelemy,Germany,USD,2400,2,,
Saint Kitts and Nevis,Germany,USD,2400,2,,
Saint Lucia,Germany,USD,2400,2,,
Saint Martin (French),Germany,USD,2400,2,,
Saint Pierre and Miquelon,Germany,USD,2400,2,,
Saint Vincent and the Grenadines,Germany,USD,2400,2,,
Samoa,Germany,USD,2400,2,,
Singapore,Germany,USD,2500,1,,
Sint Maarten (Dutch),Germany,USD,2400,2,,
Slovakia,Germany,Euro,790,3,,
Slovenia,Germany,Euro,790,3,,
South Africa,Germany,USD,1100,1,,
South Georgia and the South Sandwich Islands,Germany,USD,2400,2,,
Spain,Germany,Euro,790,3,,
Suriname,Germany,USD,2400,2,,
Sweden,Germany,Euro,790,3,,
Switzerland,Germany,Euro,790,3,,
Taiwan,Germany,USD,2500,1,,
Thailand,Germany,USD,2500,1,,
Tokelau,Germany,USD,2400,2,,
Trinidad and Tobago,Germany,USD,2400,2,,
Turkey,Germany,USD,2490,2,,
Turks and Caicos Islands,Germany,USD,2400,2,,
U.S. Virgin Islands,Germany,USD,2400,2,,
Ukraine,Germany,USD,2490,2,,
United Kingdom,Germany,Euro,790,3,,
United States,Germany,USD,1100,1,,
United States Minor Outlying Islands,Germany,USD,2400,2,,
Uruguay,Germany,USD,2400,2,,
Venezuela,Germany,USD,2400,2,,
Vietnam,Germany,USD,2500,1,,
Andorra,United States,Euro,1850,5,3090,9
Australia,United States,USD,4000,1,4000,10
Austria,United States,Euro,1610,6,,
Belgium,United States,Euro,1850,5,3090,9
British Virgin Islands,United States,USD,2050,7,3540,10
Brunei,United States,USD,2950,1,,
Bulgaria,United States,USD,2050,7,3540,10
Cambodia,United States,USD,2950,1,,
China,United States,USD,2500,1,,
Cook Islands,United States,USD,2490,2,,
Croatia,United States,USD,2050,7,3540,10
Cypress,United States,Euro,1850,5,3090,9
Czech Republic,United States,USD,2050,7,3540,10
Denmark,United States,USD,2050,7,3540,10
Estonia,United States,Euro,1850,5,3090,9
Falkland Islands (Malvinas),United States,USD,2050,7,3540,10
Finland,United States,Euro,1850,5,3090,9
France,United States,Euro,1850,5,3090,9
Germany,United States,Euro,1610,6,,
Greece,United States,Euro,1850,5,3090,9
Guam,United States,USD,2400,2,,
Hong Kong,United States,USD,4000,1,4000,10
Hungary,United States,USD,2050,7,3540,10
Iceland,United States,USD,2050,7,3540,10
Indonesia,United States,USD,4000,1,4000,10
Ireland,United States,Euro,1850,5,3090,9
Israel,United States,USD,2050,7,3540,10
Italy,United States,Euro,1850,5,3090,9
Japan,United States,Yen,298000,1,,
Kazakhstan,United States,USD,2490,2,,
Korea,United States,USD,2800,1,,
Kosovo,United States,USD,2050,7,3540,10
Laos,United States,USD,4000,1,4000,10
Latvia,United States,Euro,1850,5,3090,9
Lithuania,United States,Euro,1850,5,3090,9
Luxembourg,United States,Euro,1850,5,3090,9
Malaysia,United States,USD,4000,1,4000,10
Malta,United States,Euro,1850,5,3090,9
Mexico,United States,USD,1765,8,,
Moldova,United States,USD,2490,2,,
Mongolia,United States,USD,4000,1,4000,10
Montenegro,United States,USD,2050,7,3540,10
Myanmar,United States,USD,4000,1,4000,10
Nepal,United States,USD,4000,1,4000,10
Netherlands,United States,Euro,1850,5,3090,9
New Zealand,United States,USD,4000,1,4000,10
Norway,United States,USD,2050,7,3540,10
Peru,United States,USD,2050,7,2890,10
Philippines,United States,USD,4000,1,4000,10
Poland,United States,USD,2050,7,3540,10
Portugal,United States,Euro,1850,5,3090,9
Romania,United States,USD,2050,7,3540,10
Singapore,United States,USD,4000,1,4000,10
Slovakia,United States,Euro,1850,5,3090,9
Slovenia,United States,Euro,1850,5,3090,9
South Africa,United States,USD,2050,7,3540,10
Spain,United States,Euro,1850,5,3090,9
Sweden,United States,USD,2050,7,3540,10
Switzerland,United States,USD,2050,7,3540,10
Taiwan,United States,USD,4000,1,4000,10
Thailand,United States,USD,4000,1,4000,10
Turkey,United States,USD,2490,2,,
Ukraine,United States,USD,2490,2,,
United Kingdom,United States,USD,2050,7,3540,10
Vietnam,United States,USD,4000,1,4000,10